FromCity	ToCity	Distance
aligarh	faridabad	96.89
aligarh	ghaziabad	107.88
aligarh	jamshedpur	990.5
aligarh	rajkot	961.72
aligarh	kota	374.44
aligarh	jalandhar	452.83
aligarh	aligarh	0
aligarh	moradabad	125.89
moradabad	new delhi	156.56
moradabad	ahmadabad	891.91
moradabad	jaipur	361.14
moradabad	lucknow	304.33
moradabad	kanpur	305.04
moradabad	nagpur	854.9
moradabad	bhopal	634.17
moradabad	indore	741.26
moradabad	patna	721.91
moradabad	ludhiana	364.39
moradabad	agra	198.3
moradabad	varanasi	570.39
moradabad	meerut	106.76
moradabad	vadodara	916.91
moradabad	allahabad	483.26
moradabad	ranchi	893.8
moradabad	amritsar	488.35
moradabad	jodhpur	633.76
moradabad	raipur	892.37
moradabad	chandigarh	286.2
moradabad	dehra dun	180.17
moradabad	noida	144.66
moradabad	gurgoan	498.71
moradabad	faridabad	149.88
moradabad	ghaziabad	132.9
moradabad	jamshedpur	998.81
moradabad	kota	500.05
moradabad	jalandhar	414.48
moradabad	aligarh	125.89
moradabad	moradabad	0
guntur	mumbai	860.75
guntur	bengaluru	481.93
guntur	chennai	357.63
guntur	hyderabad	241.86
guntur	pune	741.18
guntur	nagpur	557.68
guntur	surat	967.18
guntur	bhopal	837.67
guntur	indore	861.98
guntur	thane	855.4
guntur	ranchi	935.37
guntur	coimbatore	699.15
guntur	kochi	840.35
guntur	mysore	603.87
guntur	vishakhapatnam	340.68
guntur	madurai	751.6
guntur	vijayawada	29.94
guntur	bhubaneshwar	717.05
guntur	raipur	562.49
guntur	jamshedpur	939.5
guntur	warangal	210.26
guntur	salem	572.69
guntur	guntur	0
